time,x,y,z
21,-0.10787315,-9.914523,1.8926834
42,0.049033247,-9.816457,1.8240368
58,0.2353596,-9.86549,1.735777
78,0.0196133,-9.875297,1.1571847
100,-0.0784532,-9.639936,1.1179581
125,0.18632634,-9.669356,1.4906107
140,0.37265268,-9.80665,1.6573238
158,0.0392266,-10.130269,2.1966896
178,-0.16671304,-10.071429,1.9809432
198,-0.00980665,-9.83607,1.7259704
224,0.17651969,-9.365351,1.4513842
243,0.0588399,-9.581097,1.2062179
259,-0.2745862,-9.796844,1.4513842
279,-0.0196133,-9.89491,1.6377105
299,0.098066494,-9.963556,1.8044236
327,0.02941995,-9.747809,1.9515233
343,0.38245934,-9.63013,1.3337044
360,-0.35303938,-9.885103,1.5690639
380,-0.1176798,-9.934136,1.147378
401,-0.12748645,-9.963556,1.5788707
424,0.24516624,-9.855683,1.5200307
440,0.06864655,-10.051816,2.0397832
460,0.0588399,-10.130269,2.5301156
481,0.2353596,-9.963556,2.2163029
503,-0.10787315,-9.816457,1.8730701
524,-0.098066494,-9.86549,1.2846711
541,-0.24516624,-9.738003,1.4611908
561,-0.1372931,-9.767424,1.5886773
584,-0.10787315,-9.77723,1.5886773
606,-0.0588399,-9.855683,1.6573238
623,0.0,-9.95375,1.6475172
642,0.1569064,-9.95375,1.9515233
662,0.1372931,-9.914523,1.99075
683,0.0588399,-9.787037,1.7651969
706,0.0588399,-9.708583,1.3042845
723,-0.24516624,-9.875297,1.0885382
743,-0.37265268,-9.992976,1.1866046
762,-0.20593965,-9.757616,1.2356379
783,-0.14709975,-9.63013,1.4023509
803,-0.20593965,-9.639936,1.147378
824,-0.2353596,-9.89491,1.0983448
843,-0.2353596,-10.149882,1.176798
863,-0.0196133,-10.081236,1.3042845
885,0.30400613,-9.767424,1.6082906
908,0.28439283,-9.92433,1.6671305
924,0.098066494,-10.032203,1.7455837
944,0.0588399,-9.973363,1.4611908
964,0.00980665,-9.98317,1.0591182
985,-0.0588399,-10.0910425,1.0885382
1007,-0.37265268,-10.061623,1.0395049
1024,-0.48052585,-10.012589,1.1866046
1044,-0.46091253,-10.022396,0.55897903
1064,-0.61781895,-10.120462,0.37265268
1086,-0.10787315,-10.110656,0.69627213
1111,-0.39226598,-10.365629,0.5099458
1127,-0.32361946,-10.032203,-0.22555295
1145,-0.24516624,-10.1989155,-0.2353596
1165,-0.20593965,-10.110656,-0.39226598
