time,y
21,-9.914523
42,-9.816457
58,-9.86549
78,-9.875297
100,-9.639936
125,-9.669356
140,-9.80665
158,-10.130269
178,-10.071429
198,-9.83607
224,-9.365351
243,-9.581097
259,-9.796844
279,-9.89491
299,-9.963556
327,-9.747809
343,-9.63013
360,-9.885103
380,-9.934136
401,-9.963556
424,-9.855683
440,-10.051816
460,-10.130269
481,-9.963556
503,-9.816457
524,-9.86549
541,-9.738003
561,-9.767424
584,-9.77723
606,-9.855683
623,-9.95375
642,-9.95375
662,-9.914523
683,-9.787037
706,-9.708583
723,-9.875297
743,-9.992976
762,-9.757616
783,-9.63013
803,-9.639936
824,-9.89491
843,-10.149882
863,-10.081236
885,-9.767424
908,-9.92433
924,-10.032203
944,-9.973363
964,-9.98317
985,-10.0910425
1007,-10.061623
1024,-10.012589
1044,-10.022396
1064,-10.120462
1086,-10.110656
1111,-10.365629
1127,-10.032203
1145,-10.1989155
1165,-10.110656
1186,-9.796844
1209,-9.728196
1230,-9.80665
1250,-10.110656
1267,-10.296982
1287,-10.346016
1310,-10.306788
1327,-10.140076
1346,-9.92433
1368,-9.875297
1387,-9.77723
1411,-9.796844
1428,-9.875297
1448,-9.95375
1467,-10.0910425
1487,-9.992976
1508,-9.914523
1527,-9.885103
1547,-9.747809
1567,-9.77723
1587,-10.022396
1608,-10.120462
1628,-10.100849
1649,-10.061623
1664,-10.022396
1689,-10.169496
1708,-10.061623
1729,-9.9047165
1748,-9.92433
1769,-9.9047165
1789,-9.95375
1809,-10.071429
1830,-10.032203
1850,-9.855683
1870,-9.738003
1889,-9.992976
1910,-9.679163
1940,-10.561762
1953,-10.1989155
1977,-9.63013
1996,-9.63013
2011,-10.022396
2031,-9.561483
2052,-9.48303
2074,-9.65955
2095,-10.120462
2112,-10.149882
2131,-10.581375
2152,-10.444082
2174,-10.355823
2195,-10.277369
2212,-10.287175
2232,-10.110656
2252,-9.885103
2273,-10.061623
2292,-10.1989155
2313,-10.542149
2333,-10.581375
2353,-10.414662
2374,-11.120741
2394,-10.610795
2413,-10.100849
2433,-9.757616
2454,-10.483309
2479,-10.973641
2500,-11.140354
2517,-10.699055
2535,-9.296704
2556,-8.875018
2577,-10.699055
2605,-10.1989155
2617,-10.218529
2636,-10.581375
2657,-10.542149
2679,-9.5320635
2700,-8.669079
2718,-9.218251
2736,-10.100849
2756,-9.679163
2776,-10.012589
2802,-10.051816
2818,-10.071429
2836,-10.306788
2859,-10.071429
2878,-10.110656
2899,-10.306788
2917,-10.257755
2937,-10.100849
2957,-9.92433
2978,-9.83607
3004,-9.973363
3018,-10.100849
3038,-10.022396
3058,-9.83607
3079,-9.98317
3102,-10.189109
3119,-9.77723
3140,-9.551677
3160,-9.63013
3179,-9.767424
3201,-9.943943
3223,-10.022396
3239,-9.86549
3262,-9.875297
3286,-9.83607
3301,-9.855683
3320,-10.130269
3341,-10.100849
3362,-9.86549
3384,-9.816457
3401,-9.845877
3421,-9.826263
3441,-9.83607
3463,-9.747809
3486,-10.002783
3503,-10.267562
3521,-10.051816
3542,-9.649743
3563,-9.7183895
3585,-9.77723
3605,-9.86549
3623,-10.169496
3642,-10.120462
3664,-9.757616
3687,-9.767424
3703,-9.787037
3723,-9.679163
3743,-9.98317
3764,-10.110656
3785,-9.796844
3804,-9.767424
3823,-9.92433
3843,-10.061623
3865,-10.120462
3887,-10.100849
3904,-9.963556
3924,-9.943943
3945,-9.9047165
3964,-10.0910425
3988,-10.061623
4006,-9.98317
4027,-9.963556
4045,-9.845877
4066,-9.787037
4087,-9.875297
4106,-9.855683
4125,-10.238142
4146,-9.973363
4166,-9.95375
4188,-10.0910425
4206,-10.140076
4226,-10.149882
4247,-9.943943
4267,-9.83607
4290,-10.100849
4308,-10.130269
4327,-9.963556
4348,-9.89491
4367,-10.032203
4391,-10.022396
4408,-10.022396
4428,-10.071429
4448,-9.992976
4468,-9.963556
4490,-9.973363
4509,-10.002783
4528,-9.95375
4551,-9.885103
4574,-9.963556
4589,-9.845877
4609,-9.973363
4631,-10.1989155
4651,-10.1989155
4674,-9.98317
4690,-10.208722
4710,-10.032203
4730,-10.051816
4752,-10.051816
4774,-10.169496
4791,-10.022396
4811,-10.061623
4831,-10.002783
4852,-9.875297
4875,-9.973363
4891,-10.169496
4912,-10.071429
4932,-9.992976
4952,-10.081236
4973,-10.042009
5000,-9.973363
5012,-10.032203
5032,-10.032203
5053,-9.934136
5075,-9.885103
5093,-9.86549
5113,-9.95375
5132,-9.98317
5153,-9.973363
5175,-10.042009
5193,-9.992976
5213,-9.934136
5236,-9.826263
5260,-9.9047165
5276,-9.9047165
5295,-10.002783
5314,-10.071429
5334,-10.042009
5354,-10.061623
5375,-9.98317
5395,-9.973363
5415,-10.002783
5435,-9.9047165
5456,-9.9047165
5477,-9.973363
5496,-10.012589
5516,-10.140076
5536,-10.218529
5556,-10.228335
5578,-10.071429
5596,-10.032203
5617,-10.002783
5638,-9.95375
5662,-9.92433
5678,-9.9047165
5697,-9.816457
5717,-9.855683
5738,-9.885103
5758,-9.914523
5781,-9.992976
5798,-10.022396
5819,-9.86549
5838,-9.77723
5861,-9.89491
5879,-10.051816
5899,-10.061623
5918,-10.120462
5940,-10.140076
5962,-10.042009
5979,-10.051816
5999,-10.002783
6019,-10.032203
6044,-10.130269
6062,-10.189109
6080,-10.218529
6099,-10.051816
6120,-10.032203
6140,-9.914523
6164,-9.9047165
6182,-10.042009
6200,-10.022396
6221,-9.98317
6242,-10.032203
6265,-10.081236
6281,-10.218529
6301,-10.022396
6322,-9.875297
6342,-9.95375
6365,-10.002783
6382,-10.022396
6402,-10.071429
6422,-9.89491
6443,-9.9047165
6465,-9.92433
6483,-9.86549
6502,-9.826263
6523,-9.845877
6543,-9.855683
6563,-9.875297
6583,-9.914523
6603,-9.934136
6623,-9.9047165
6643,-9.855683
6665,-9.875297
6684,-10.061623
6704,-10.042009
6726,-10.100849
6748,-10.149882
6765,-10.012589
6784,-9.973363
6805,-10.012589
6824,-10.042009
6844,-10.081236
6868,-10.002783
6885,-10.022396
6905,-10.061623
6927,-10.042009
6949,-9.992976
6967,-10.022396
6985,-9.943943
7006,-9.885103
7027,-9.796844
7050,-9.89491
7070,-9.92433
7086,-10.022396
7106,-10.002783
7128,-9.992976
7150,-10.051816
7168,-10.120462
7187,-10.071429
7208,-9.914523
7228,-9.973363
7251,-10.061623
7269,-10.081236
7288,-10.042009
7308,-10.032203
7330,-10.032203
7351,-10.071429
7369,-9.92433
7389,-9.816457
7409,-9.77723
7430,-9.914523
7452,-9.86549
7469,-9.845877
7489,-9.95375
7509,-10.0910425
7529,-10.100849
7551,-9.95375
7570,-9.787037
7590,-9.590903
7610,-9.375157
7631,-9.296704
7653,-9.198637
7671,-9.022118
7691,-9.149604
7711,-9.502644
7731,-9.708583
7754,-9.649743
7771,-9.522257
7791,-9.54187
7812,-9.639936
7831,-9.875297
7853,-10.257755
7872,-10.228335
7892,-10.179302
7912,-10.149882
7932,-9.875297
7953,-9.679163
7972,-9.855683
7993,-9.885103
8013,-9.620323
8033,-9.384964
8054,-9.179024
8073,-9.110377
8094,-9.522257
8116,-10.061623
8139,-10.385242
8155,-10.0910425
8174,-9.698776
8194,-10.061623
8214,-10.532342
8234,-10.542149
8259,-10.130269
8274,-10.277369
8295,-10.728475
8315,-10.640215
8336,-10.591182
8360,-10.561762
8376,-9.92433
8396,-9.708583
8417,-9.914523
8441,-9.698776
8458,-9.738003
8476,-10.061623
8497,-9.738003
8518,-9.747809
8540,-10.130269
8556,-10.355823
8577,-10.346016
8597,-10.414662
8616,-9.963556
8638,-9.522257
8660,-9.728196
8677,-10.061623
8697,-10.1989155
8719,-10.130269
8741,-9.992976
8758,-10.032203
8778,-10.247949
8798,-10.120462
8819,-10.306788
8842,-10.385242
8861,-10.375436
8881,-10.365629
8899,-10.924608
8919,-10.973641
8943,-10.483309
8959,-10.120462
8979,-10.5715685
8999,-11.316874
9020,-11.189387
9046,-10.365629
9064,-9.610517
9080,-9.257478
9100,-9.345737
9120,-9.502644
9143,-10.0910425
9160,-10.277369
9180,-10.081236
9201,-9.914523
9220,-9.875297
9248,-10.130269
9264,-10.326403
9281,-9.875297
9301,-9.54187
9324,-9.48303
9342,-9.787037
9362,-9.95375
9382,-9.826263
9403,-10.110656
9423,-10.022396
9446,-9.767424
9466,-9.943943
9484,-10.032203
9506,-10.375436
9527,-10.169496
9544,-10.1989155
9564,-10.247949
9584,-10.1989155
9605,-10.208722
9630,-10.718668
9645,-10.650022
9665,-11.061901
9686,-11.41494
9706,-11.552234
9730,-11.669913
9747,-10.630408
9766,-9.845877
9786,-9.139797
9806,-9.277091
9829,-9.77723
9846,-10.051816
9866,-10.140076
9887,-10.287175
9907,-10.502922
9930,-10.826541
9947,-10.708861
9967,-10.306788
9988,-10.130269
10008,-9.51245
10031,-9.100571
10047,-8.894631
10067,-8.767145
10089,-8.737725
10109,-9.267284
10130,-9.581097
10148,-9.4241905
10168,-9.394771
10190,-9.698776
10213,-9.68897
10231,-9.728196
10249,-9.855683
10269,-9.83607
10289,-9.787037
10309,-10.247949
10331,-10.826541
10350,-11.003061
10370,-10.826541
10392,-10.728475
10414,-10.875574
10433,-10.855961
10450,-10.826541
10470,-10.973641
10490,-11.032481
10510,-10.767701
10533,-10.208722
10550,-9.610517
10571,-9.610517
10591,-9.57129
10611,-9.316318
10633,-9.375157
10651,-9.610517
10671,-10.032203
10695,-10.355823
10717,-10.375436
10733,-10.169496
10752,-9.89491
10773,-9.326124
10788,-9.247671
10812,-9.57129
10833,-10.081236
10853,-10.100849
10873,-9.9047165
10894,-9.796844
10917,-9.7183895
10933,-9.68897
10953,-9.610517
10973,-9.747809
11003,-9.7183895
11019,-9.816457
11034,-10.081236
11054,-10.267562
11074,-10.140076
11095,-9.973363
11118,-10.022396
11134,-10.189109
11154,-10.287175
11176,-10.522535
11196,-10.267562
11218,-9.973363
11235,-9.286898
11255,-9.169217
11276,-9.375157
11296,-9.757616
11318,-10.051816
11336,-10.149882
11356,-10.218529
11377,-10.267562
11397,-10.257755
11420,-10.306788
11437,-10.267562
11457,-10.140076
11477,-10.365629
11497,-10.287175
11521,-10.257755
11569,-10.336209
11569,-10.247949
11578,-10.071429
11603,-9.973363
11619,-9.845877
11639,-10.032203
11656,-10.189109
11678,-10.120462
11698,-10.100849
11718,-9.943943
11738,-9.796844
11758,-9.855683
11778,-9.83607
11798,-10.100849
11819,-10.316595
11839,-10.0910425
11859,-10.149882
11879,-10.296982
11899,-10.287175
11919,-9.973363
11940,-9.68897
11960,-9.65955
11981,-9.747809
12000,-9.86549
12020,-10.051816
12040,-10.267562
12060,-10.296982
12083,-10.169496
12103,-10.071429
12124,-10.022396
12141,-9.95375
12161,-9.992976
12181,-9.86549
12201,-9.914523
12222,-9.963556
12242,-9.83607
12261,-9.83607
12283,-9.914523
12307,-9.92433
12322,-9.7183895
12342,-9.747809
12363,-9.86549
12384,-9.9047165
12409,-10.159689
12426,-10.130269
12443,-10.071429
12464,-10.130269
12486,-9.914523
12506,-10.032203
12526,-10.169496
12544,-10.267562
12564,-10.316595
12586,-10.257755
12610,-10.042009
12626,-9.855683
12644,-9.787037
12664,-9.747809
12685,-9.943943
12707,-9.943943
12725,-10.051816
12744,-10.287175
12798,-10.355823
12801,-10.346016
12811,-10.296982
12828,-10.100849
12846,-9.943943
12865,-9.816457
12885,-9.787037
12906,-9.9047165
12926,-9.98317
12946,-10.0910425
12966,-10.149882
12987,-10.120462
13007,-10.032203
13027,-9.92433
13047,-9.943943
13067,-9.885103
13087,-9.885103
13108,-9.963556
13128,-9.95375
13148,-10.002783
13173,-9.855683
13191,-9.943943
13214,-9.943943
13228,-9.92433
13248,-9.963556
13270,-10.071429
13293,-10.130269
13313,-9.992976
13329,-9.98317
13349,-10.051816
13372,-10.081236
13399,-9.963556
13416,-9.92433
13433,-9.992976
13450,-10.081236
13472,-10.022396
13499,-10.169496
13515,-10.336209
13531,-10.306788
13553,-10.316595
13572,-10.277369
13600,-10.120462
13621,-9.816457
13634,-9.855683
13652,-9.885103
13673,-9.855683
13699,-9.934136
13714,-9.943943
13732,-10.022396
13753,-10.042009
13773,-10.071429
13798,-10.189109
13820,-10.071429
13833,-9.992976
13853,-9.855683
13875,-9.581097
13899,-9.365351
13917,-9.355544
13935,-9.610517
13954,-9.95375
13974,-10.120462
13999,-10.179302
14014,-10.238142
14034,-10.189109
14054,-9.973363
14074,-9.845877
14101,-9.95375
14116,-9.973363
14136,-10.169496
14155,-10.228335
14177,-10.169496
14200,-10.149882
14217,-10.208722
14236,-10.208722
14256,-10.267562
14285,-10.277369
14302,-10.110656
14317,-9.98317
14336,-9.89491
14361,-9.89491
14384,-9.86549
14401,-9.934136
14417,-10.022396
14437,-9.992976
14462,-9.875297
14484,-9.757616
14500,-9.89491
14518,-9.914523
14538,-10.012589
14565,-10.002783
14584,-10.012589
14602,-9.973363
14618,-9.855683
14638,-9.787037
14662,-10.042009
14685,-9.9047165
14705,-9.816457
14719,-9.767424
14739,-9.83607
14759,-9.95375
14779,-10.071429
14800,-10.140076
14820,-10.061623
14840,-9.973363
14860,-10.002783
14886,-10.022396
14902,-10.120462
14920,-10.071429
14941,-10.140076
14962,-10.140076
14984,-10.257755
15001,-10.277369
15021,-10.189109
15041,-10.159689
15062,-10.012589
15084,-9.77723
15101,-9.934136
15122,-9.787037
15141,-9.95375
15162,-10.061623
15183,-10.110656
15202,-10.081236
15223,-10.081236
15243,-9.934136
15263,-9.885103
15287,-10.002783
15308,-10.032203
15323,-10.453889
15343,-10.610795
15363,-10.689248
15383,-10.855961
15403,-10.826541
15424,-10.581375
15444,-10.346016
15464,-10.238142
15488,-10.581375
15505,-10.493115
15525,-10.316595
15548,-10.012589
15570,-10.326403
15585,-10.542149
15605,-10.355823
15626,-10.600988
15647,-10.306788
15673,-9.845877
15688,-10.208722
15706,-9.943943
15726,-10.159689
15747,-10.346016
15767,-10.169496
15788,-10.189109
15806,-10.189109
15826,-10.032203
15849,-10.140076
15872,-10.816734
15889,-10.414662
15907,-9.885103
15928,-9.590903
15952,-9.45361
15979,-9.816457
15989,-10.287175
16008,-10.159689
16029,-10.296982
16050,-9.787037
16072,-9.355544
16092,-10.179302
16109,-10.561762
16130,-10.385242
16151,-10.081236
16171,-9.816457
16189,-9.414384
16209,-9.5320635
16230,-9.463417
16250,-9.767424
16273,-9.934136
16293,-10.140076
16310,-10.179302
16331,-10.061623
16351,-9.86549
16375,-9.747809
16391,-9.679163
16411,-9.60071
16432,-9.679163
16451,-9.63013
16473,-9.267284
16491,-9.257478
16512,-9.463417
16532,-9.747809
16552,-9.63013
16574,-9.698776
16592,-9.826263
16612,-9.767424
16633,-9.796844
16653,-9.9047165
16675,-10.051816
16693,-10.120462
16713,-10.100849
16734,-9.787037
16753,-9.649743
